R version 4.3.1 (2023-06-16) 
333 packages installed

Package	Version
abind	1.4-8
ALDEx2	1.34.0
AnnotationDbi	1.64.1
ape	5.8-1
aplot	0.2.2
askpass	1.2.0
assertthat	0.2.1
backports	1.4.1
base	4.3.1
base64enc	0.1-3
BH	1.90.0-1
Biobase	2.62.0
BiocGenerics	0.48.1
BiocManager	1.30.27
BiocParallel	1.36.0
BiocVersion	3.18.1
Biostrings	2.70.3
bit	4.0.5
bit64	4.0.5
bitops	1.0-7
blob	1.2.4
brew	1.0-8
brio	1.1.3
broom	1.0.5
bslib	0.5.1
cachem	1.0.8
callr	3.7.3
caret	6.0-94
cellranger	1.1.0
class	7.3-22
cli	3.6.1
clipr	0.8.0
clock	0.7.0
clusterProfiler	4.10.1
codetools	0.2-19
colorspace	2.1-0
commonmark	1.9.0
compiler	4.3.1
conflicted	1.2.0
cowplot	1.1.1
cpp11	0.5.5
crayon	1.5.2
credentials	2.0.1
crosstalk	1.2.2
curl	5.1.0
data.table	1.14.8
datasets	4.3.1
DBI	1.1.3
dbplyr	2.3.4
DelayedArray	0.28.0
deldir	2.0-4
desc	1.4.2
DESeq2	1.42.1
devtools	2.4.5
diagram	1.6.5
dials	1.2.0
DiceDesign	1.9
diffobj	0.3.5
digest	0.6.33
directlabels	2026.4.23
DOSE	3.28.2
downlit	0.4.3
downloader	0.4.1
dplyr	1.1.3
dtplyr	1.3.1
e1071	1.7-13
ellipsis	0.3.2
enrichplot	1.22.0
evaluate	0.22
fansi	1.0.5
farver	2.1.1
fastmap	1.1.1
fastmatch	1.1-8
fgsea	1.28.0
fontawesome	0.5.2
fontBitstreamVera	0.1.1
fontLiberation	0.1.0
fontquiver	0.2.1
forcats	1.0.0
foreach	1.5.2
forecast	8.21.1
formatR	1.14
fracdiff	1.5-2
fs	1.6.3
furrr	0.3.1
futile.logger	1.4.9
futile.options	1.0.1
future	1.33.0
future.apply	1.11.0
gargle	1.5.2
gdtools	0.5.1
generics	0.1.3
GenomeInfoDb	1.38.8
GenomeInfoDbData	1.2.11
GenomicRanges	1.54.1
gert	2.0.0
ggforce	0.4.1
ggfun	0.1.3
ggiraph	0.8.7
ggnewscale	0.4.9
ggplot2	3.4.4
